id,case_title,case_type,case_number,year,division,court_name,pdf_url,translation_url,filename,upload_date,scraped_at
SC_HCD_0115,Civil Revision 5304/2025,Civil Revision,5304/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3457312_C.R._No._5304_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3457312_C.R._No._5304_of_2025.pdf,3457312_C.R._No._5304_of_2025.pdf,,2026-08-22T14:57:45.781809
SC_HCD_0116,Civil Revision 2991/2025,Civil Revision,2991/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3457634_C.R._No._2991_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3457634_C.R._No._2991_of_2025.pdf,3457634_C.R._No._2991_of_2025.pdf,,2026-08-22T14:57:45.781852
SC_HCD_0117,First Appeal 37/2025,First Appeal,37/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3222015_First_Appea_1No.37_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3222015_First_Appea_1No.37_of_2025.pdf,3222015_First_Appea_1No.37_of_2025.pdf,,2026-08-22T14:57:45.781904
SC_HCD_0118,Writ Petition 11004/2017,Writ Petition,11004/2017,2017,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1212153_W_P_No_11004of2017.pdf,https://supremecourt.gov.bd/translation/process.php?file=1212153_W_P_No_11004of2017.pdf,1212153_W_P_No_11004of2017.pdf,,2026-08-22T14:57:45.781948
SC_HCD_0119,Civil Revision 1159/2008,Civil Revision,1159/2008,2008,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/126310_Civil_Revision_No_1159_of_2008.pdf,https://supremecourt.gov.bd/translation/process.php?file=126310_Civil_Revision_No_1159_of_2008.pdf,126310_Civil_Revision_No_1159_of_2008.pdf,,2026-08-22T14:57:45.781995
SC_HCD_0120,Civil Revision 2813/2025,Civil Revision,2813/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3618428_Civil_Revision_No_2813_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3618428_Civil_Revision_No_2813_of_2025.pdf,3618428_Civil_Revision_No_2813_of_2025.pdf,,2026-08-22T14:57:45.782039
SC_HCD_0121,Civil Revision 2519/2013,Civil Revision,2519/2013,2013,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/655990_C.R._No._2519_of_2013.pdf,https://supremecourt.gov.bd/translation/process.php?file=655990_C.R._No._2519_of_2013.pdf,655990_C.R._No._2519_of_2013.pdf,,2026-08-22T14:57:45.782087
SC_HCD_0122,Civil Revision 1083/2021,Civil Revision,1083/2021,2021,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2990271_C.R._1083_of_2021.pdf,https://supremecourt.gov.bd/translation/process.php?file=2990271_C.R._1083_of_2021.pdf,2990271_C.R._1083_of_2021.pdf,,2026-08-22T14:57:45.782131
SC_HCD_0123,Criminal Revision 5296/2025,Criminal Revision,5296/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3442776_Crl._Rev._5296_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3442776_Crl._Rev._5296_of_2025.pdf,3442776_Crl._Rev._5296_of_2025.pdf,,2026-08-22T14:57:45.782176
SC_HCD_0124,Company Matter 340/2026,Company Matter,340/2026,2026,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3533142_cm340of26.pdf,https://supremecourt.gov.bd/translation/process.php?file=3533142_cm340of26.pdf,3533142_cm340of26.pdf,,2026-08-22T14:57:45.782216
SC_HCD_0125,First Misc Appeal 283/2019,First Misc Appeal,283/2019,2019,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3235000_FIRST_MISCELLANEOUS_APPEAL_283_OF_2019_ALLOWED_.pdf,https://supremecourt.gov.bd/translation/process.php?file=3235000_FIRST_MISCELLANEOUS_APPEAL_283_OF_2019_ALLOWED_.pdf,3235000_FIRST_MISCELLANEOUS_APPEAL_283_OF_2019_ALLOWED_.pdf,,2026-08-22T14:57:45.782262
SC_HCD_0126,Criminal Revision (TN) 3359/2019,Criminal Revision (TN),3359/2019,2019,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1_Crl.Rev.No.3359of2019(Disposed)(03.08.2026).pdf,https://supremecourt.gov.bd/translation/process.php?file=1_Crl.Rev.No.3359of2019(Disposed)(03.08.2026).pdf,1_Crl.Rev.No.3359of2019(Disposed)(03.08.2026).pdf,,2026-08-22T14:57:45.782310
SC_HCD_0127,First Appeal 758/2018,First Appeal,758/2018,2018,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1465908_FIRST_APPEAL_758_OF_2018_ALLOWED_.pdf,https://supremecourt.gov.bd/translation/process.php?file=1465908_FIRST_APPEAL_758_OF_2018_ALLOWED_.pdf,1465908_FIRST_APPEAL_758_OF_2018_ALLOWED_.pdf,,2026-08-22T14:57:45.782359
SC_HCD_0128,Writ Petition 1724/2020,Writ Petition,1724/2020,2020,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2238937_W_P_No_1724of2020a.pdf,https://supremecourt.gov.bd/translation/process.php?file=2238937_W_P_No_1724of2020a.pdf,2238937_W_P_No_1724of2020a.pdf,,2026-08-22T14:57:45.782404
SC_HCD_0129,Criminal Revision (TN) 589/2021,Criminal Revision (TN),589/2021,2021,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1_CriminalRevisionNo.589of2021.pdf,https://supremecourt.gov.bd/translation/process.php?file=1_CriminalRevisionNo.589of2021.pdf,1_CriminalRevisionNo.589of2021.pdf,,2026-08-22T14:57:45.782454
SC_HCD_0130,First Appeal 356/2017,First Appeal,356/2017,2017,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1257698_FIRST_APPEAL_356_OF_2017_ALLOWED.pdf,https://supremecourt.gov.bd/translation/process.php?file=1257698_FIRST_APPEAL_356_OF_2017_ALLOWED.pdf,1257698_FIRST_APPEAL_356_OF_2017_ALLOWED.pdf,,2026-08-22T14:57:45.782500
SC_HCD_0131,First Appeal 331/2020,First Appeal,331/2020,2020,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1822516_FIRST_APPEAL_331_OF_2020_ALLOWED.pdf,https://supremecourt.gov.bd/translation/process.php?file=1822516_FIRST_APPEAL_331_OF_2020_ALLOWED.pdf,1822516_FIRST_APPEAL_331_OF_2020_ALLOWED.pdf,,2026-08-22T14:57:45.782550
SC_HCD_0132,Criminal Appeal(H) 92/2005,Criminal Appeal(H),92/2005,2005,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1038432_Crl_Appeal_No_92_of_2005.pdf,https://supremecourt.gov.bd/translation/process.php?file=1038432_Crl_Appeal_No_92_of_2005.pdf,1038432_Crl_Appeal_No_92_of_2005.pdf,,2026-08-22T14:57:45.782596
SC_HCD_0133,Criminal Appeal(H) 8326/2021,Criminal Appeal(H),8326/2021,2021,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1941916_Crl_Appeal_No_8326_of_2021.pdf,https://supremecourt.gov.bd/translation/process.php?file=1941916_Crl_Appeal_No_8326_of_2021.pdf,1941916_Crl_Appeal_No_8326_of_2021.pdf,,2026-08-22T14:57:45.782647
SC_HCD_0134,Civil Revision 3155/2019,Civil Revision,3155/2019,2019,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1682971_Civil_Revision_No_3155_of_2019.pdf,https://supremecourt.gov.bd/translation/process.php?file=1682971_Civil_Revision_No_3155_of_2019.pdf,1682971_Civil_Revision_No_3155_of_2019.pdf,,2026-08-22T14:57:45.782693
SC_HCD_0135,Civil Revision 4274/2011,Civil Revision,4274/2011,2011,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/401015_Civil_Revision_No_4274_of_2011.pdf,https://supremecourt.gov.bd/translation/process.php?file=401015_Civil_Revision_No_4274_of_2011.pdf,401015_Civil_Revision_No_4274_of_2011.pdf,,2026-08-22T14:57:45.782740
SC_HCD_0136,Civil Revision 1284/2025,Civil Revision,1284/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3547477_Civil_RevisionNo_1284_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3547477_Civil_RevisionNo_1284_of_2025.pdf,3547477_Civil_RevisionNo_1284_of_2025.pdf,,2026-08-22T14:57:45.782790
SC_HCD_0137,Civil Revision 2840/2025,Civil Revision,2840/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3397651_Civil_RevisionNo_2840_of_2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3397651_Civil_RevisionNo_2840_of_2025.pdf,3397651_Civil_RevisionNo_2840_of_2025.pdf,,2026-08-22T14:57:45.782838
SC_HCD_0138,Civil Revision 3884/2015,Civil Revision,3884/2015,2015,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2843733_Civil_RevisionNo_3884_of_2015.pdf,https://supremecourt.gov.bd/translation/process.php?file=2843733_Civil_RevisionNo_3884_of_2015.pdf,2843733_Civil_RevisionNo_3884_of_2015.pdf,,2026-08-22T14:57:45.782882
SC_HCD_0139,Civil Revision 6643/2023,Civil Revision,6643/2023,2023,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2812738_Civil_RevisionNo_6643_of_2023.pdf,https://supremecourt.gov.bd/translation/process.php?file=2812738_Civil_RevisionNo_6643_of_2023.pdf,2812738_Civil_RevisionNo_6643_of_2023.pdf,,2026-08-22T14:57:45.782925
